Trinity ID,显示名,有爬虫,上游来源,计价模式,档位,判定,线_入(USD/M),爬_入(USD/M),入Δ%,线_出(USD/M),爬_出(USD/M),出Δ%,线_缓(USD/M),爬_缓(USD/M),缓Δ%
claude-opus-4-6,claude-opus-4-6,是,aigc_international,legacy,标准计价,一致,5,5,0,25,25,0,0.5,0.5,0
claude-opus-4-7,claude-opus-4-7,是,aigc_international,legacy,标准计价,一致,5,5,0,25,25,0,0.5,0.5,0
claude-opus-4-8,claude-opus-4-8,是,aigc_international,legacy,标准计价,一致,5,5,0,25,25,0,0.5,0.5,0
claude-sonnet-4-6,claude-sonnet-4-6,是,aigc_international,legacy,标准计价,一致,3,3,0,15,15,0,0.3,0.3,0
deepseek-v3.2,DeepSeek V3.2,是,tokenhub,legacy,标准计价,偏差,0.275862,0.307692,-10.3,0.413793,0.461538,-10.3,0.027586,0.061538,-55.2
deepseek-v4-flash,DeepSeek V4 Flash,是,tokenhub,legacy,标准计价,偏差,0.137931,0.153846,-10.3,0.275862,0.307692,-10.3,0.002759,0.030769,-91
deepseek-v4-flash-202605,DeepSeek V4 Flash Direct,是,tokenhub,legacy,标准计价,偏差,0.137931,0.153846,-10.3,0.275862,0.307692,-10.3,0.002759,0.003077,-10.3
deepseek-v4-pro,DeepSeek V4 Pro,是,tokenhub,legacy,标准计价,偏差,1.655172,1.846154,-10.3,3.310345,3.692308,-10.3,0.033103,0.153846,-78.5
deepseek-v4-pro-202606,DeepSeek V4 Pro Direct,是,tokenhub,legacy,标准计价,偏差,0.413793,0.461538,-10.3,0.827586,0.923077,-10.3,0.003448,0.003846,-10.3
gemini-2.5-flash,Gemini 2.5 Flash,是,aigc_domestic,legacy,标准计价,偏差,0.3,0.3,0,2.5,2.5,0,0.03,0.033846,-11.4
gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,是,aigc_domestic,legacy,标准计价,偏差,0.1,0.1,0,0.4,0.4,0,0.01,0.011538,-13.3
gemini-2.5-flash-lite-preview,Gemini 2.5 Flash Lite Preview,是,aigc_domestic,legacy,标准计价,偏差,0.1,0.1,0,0.4,0.4,0,0.01,0.011538,-13.3
gemini-2.5-pro,Gemini 2.5 Pro,是,aigc_domestic,context_length_range,≤ 200K,偏差,1.25,1.25,0,10,10,0,0.125,0.143077,-12.6
gemini-2.5-pro,Gemini 2.5 Pro,是,aigc_domestic,context_length_range,> 200K,偏差,2.5,2.5,0,15,15,0,0.25,0.287692,-13.1
gemini-3-flash-preview,Gemini 3 Flash Preview,是,aigc_domestic,legacy,标准计价,偏差,0.5,0.5,0,3,3,0,0.05,0.053846,-7.1
gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,是,aigc_domestic,legacy,标准计价,偏差,0.25,0.25,0,1.5,1.5,0,0.025,0.027692,-9.7
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite Preview,是,aigc_domestic,legacy,标准计价,偏差,0.25,0.25,0,1.5,1.5,0,0.025,0.027692,-9.7
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,是,aigc_domestic,context_length_range,≤ 200K,偏差,2,2,0,12,12,0,0.2,0.230769,-13.3
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,是,aigc_domestic,context_length_range,> 200K,偏差,4,4,0,18,18,0,0.4,0.461538,-13.3
gemini-3.5-flash,Gemini 3.5 Flash,是,aigc_domestic,legacy,标准计价,偏差,1.5,1.5,0,9,9,0,0.15,0.173077,-13.3
glm-4-7-251222,GLM 4.7,是,aigc_domestic,legacy,标准计价,偏差,3,0.461538,550,14,2.153846,550,0.6,0.092308,550
glm-5,GLM 5,是,bailian,usage_token_range,≤ 32.77K,偏差,0.616,0.923077,-33.3,2.772,3.384615,-18.1,0.154,0.154,0
glm-5,GLM 5,是,bailian,usage_token_range,> 32.77K,偏差,0.924,0.615385,50.1,3.388,2.769231,22.3,0.231,0.231,0
glm-5-turbo,GLM 5 Turbo,是,tokenhub,usage_token_range,≤ 32.77K,偏差,0.77,1.076923,-28.5,3.388,4,-15.3,0.185,0.276923,-33.2
glm-5-turbo,GLM 5 Turbo,是,tokenhub,usage_token_range,> 32.77K,偏差,1.078,0.769231,40.1,4.004,3.384615,18.3,0.277,0.184615,50
glm-5.1,GLM-5.1,是,bailian,usage_token_range,≤ 32.77K,偏差,0.924,1.230769,-24.9,3.6961,4.307692,-14.2,0.2,0.2,0
glm-5.1,GLM-5.1,是,bailian,usage_token_range,> 32.77K,偏差,1.232,0.923077,33.5,4.312,3.692308,16.8,0.308,0.308,0
glm-5.2,GLM-5.2,是,tokenhub,legacy,标准计价,偏差,1.1036,1.230769,-10.3,3.8621,4.307692,-10.3,0.2759,0.307692,-10.3
glm-5v-turbo,GLM-5V Turbo,是,tokenhub,context_length_range,≤ 32.77K,偏差,0.689655,1.076923,-36,3.034483,4,-24.1,0.165517,0.276923,-40.2
glm-5v-turbo,GLM-5V Turbo,是,tokenhub,context_length_range,> 32.77K,偏差,0.965517,0.769231,25.5,3.586207,3.384615,6,0.248276,0.184615,34.5
gpt-4.1,gpt-4.1,是,aigc_domestic,legacy,标准计价,偏差,2,2,0,8,8,0,0.5,0.576923,-13.3
gpt-4o,gpt-4o,是,aigc_domestic,legacy,标准计价,偏差,2.5,2.5,0,10,10,0,1.25,1.441538,-13.3
gpt-5,gpt-5,是,aigc_domestic,legacy,标准计价,偏差,1.25,1.25,0,10,10,0,0.13,0.144231,-9.9
gpt-5-nano,gpt-5-nano,是,aigc_domestic,legacy,标准计价,偏差,0.05,0.05,0,0.4,0.4,0,0.01,0.005769,73.3
